expression, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
10frames_sad_1_+delta, 2.36, 0.63, 0.00, 0.00, 0.00, 2.73, 0.00, 0.00, 0.20, 0.60, 0.84, 1.36, 0.68, 0.49, 0.16, 2.82, 1.02, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0
10frames_sad_1_delta, 0.98, 1.95, 0.99, 0.88, 0.07, 1.52, 0.00, 0.00, 0.31, 0.00, 0.00, 0.44, 0.00, 0.72, 0.00, 0.65, 0.32, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
10frames_sad_1_nodelta, 1.11, 2.30, 1.46, 0.11, 0.00, 1.73, 0.00, 0.00, 0.15, 0.00, 0.00, 0.42, 0.00, 0.79, 0.00, 0.64, 0.41, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0
10frames_sad_2_+delta, 1.93, 2.48, 1.85, 0.00, 0.74, 1.92, 0.00, 0.00, 0.34, 0.51, 0.00, 0.76, 0.00, 0.95, 0.00, 0.48, 0.79, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
10frames_sad_2_delta, 1.57, 0.00, 0.00, 0.00, 0.00, 1.85, 0.00, 0.18, 0.46, 1.03, 0.00, 0.47, 1.36, 0.12, 0.23, 2.51, 0.32, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0
10frames_sad_2_nodelta, 1.58, 0.43, 0.00, 0.00, 0.00, 3.11, 0.00, 0.00, 0.00, 0.08, 0.92, 1.01, 1.33, 0.14, 0.32, 2.80, 0.71, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0
10frames_sad_3_+delta, 2.48, 2.96, 2.25, 0.43, 0.83, 2.23, 0.00, 0.06, 0.40, 0.51, 0.07, 1.03, 0.00, 0.95, 0.00, 0.85, 1.21, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
10frames_sad_3_delta, 1.92, 0.56, 0.00, 0.00, 0.00, 1.97, 0.00, 0.16, 0.10, 0.69, 0.77, 0.37, 1.96, 0.29, 0.74, 2.13, 0.96, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0
10frames_sad_3_nodelta, 1.70, 2.66, 1.68, 0.16, 0.50, 1.85, 0.00, 0.00, 0.16, 0.15, 0.00, 0.66, 0.00, 0.83, 0.00, 0.74, 0.76, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0
allframes_angry_1_+delta, 1.50, 0.14, 0.00, 0.10, 0.00, 3.30, 0.00, 0.00, 0.00, 0.00, 0.12, 0.53, 0.64, 0.00, 0.29, 3.00, 0.15, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
allframes_angry_1_delta, 1.10, 0.16, 0.00, 0.00, 0.00, 2.29, 0.00, 0.00, 0.00, 0.00, 0.36, 0.52, 0.82, 0.00, 0.73, 3.48, 0.00, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0
allframes_angry_1_nodelta, 1.48, 0.13, 0.00, 0.00, 0.00, 2.45, 0.00, 0.00, 0.00, 0.00, 0.41, 0.63, 0.63, 0.00, 0.76, 3.14, 0.16, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
allframes_angry_2_+delta, 1.07, 0.00, 0.00, 0.00, 0.00, 2.52, 0.00, 0.00, 0.00, 0.17, 0.00, 0.41, 0.65, 0.00, 0.75, 1.56, 0.33, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
allframes_angry_2_delta, 1.41, 0.41, 0.00, 0.00, 0.00, 2.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.78, 0.79, 0.00, 0.62, 2.89, 0.00, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
allframes_angry_2_nodelta, 1.26, 0.00, 0.00, 0.00, 0.00, 2.64, 0.00, 0.00, 0.00, 0.00, 0.27, 0.71, 0.34, 0.00, 0.66, 3.06, 0.10, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
allframes_angry_3_+delta, 1.30, 0.11, 0.40, 0.00, 0.65, 3.77, 0.62, 0.26, 0.06, 0.21, 0.00, 0.26, 0.23, 0.00, 0.81, 2.33, 0.81, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0
allframes_angry_3_delta, 1.11, 0.00, 0.00, 0.00, 0.00, 2.14, 0.71, 0.86, 0.67, 0.67, 0.00, 0.35, 0.00, 0.16, 1.57, 3.06, 0.30, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0
allframes_angry_3_nodelta, 0.97, 0.00, 0.00, 0.00, 0.00, 2.85, 0.14, 0.00, 0.00, 0.00, 0.25, 0.39, 0.31, 0.00, 0.80, 3.01, 0.49, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0
allframes_happy_1_+delta, 3.37, 2.22, 0.35, 0.16, 0.87, 2.65, 0.00, 1.21, 1.76, 0.98, 0.00, 0.25, 0.07, 0.50, 2.80, 2.74, 0.70, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0
allframes_happy_1_delta, 1.64, 2.94, 1.09, 0.53, 0.40, 1.65, 0.00, 0.00, 1.25, 0.16, 0.00, 0.00, 0.00, 0.76, 1.23, 1.53, 0.35, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
allframes_happy_1_nodelta, 2.78, 1.36, 0.00, 0.00, 0.33, 2.23, 0.00, 0.72, 0.93, 0.48, 0.47, 0.42, 0.15, 0.17, 2.02, 4.07, 0.51, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0
allframes_happy_2_+delta, 2.75, 2.38, 2.27, 0.00, 1.31, 3.37, 1.25, 0.54, 1.55, 1.74, 0.00, 0.00, 0.00, 0.00, 2.11, 2.13, 2.65, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0
allframes_happy_2_delta, 1.61, 2.65, 1.20, 0.00, 1.36, 2.98, 0.46, 0.75, 2.26, 1.16, 0.00, 0.00, 0.00, 0.00, 2.52, 1.50, 0.41, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
